datetime,cash,pos,equity,peak,dd
2026-05-22 02:00:00,298094.0,-1,299114.0,300298.0,-0.39427502014665433
2026-05-22 02:45:00,298094.0,-1,299154.0,300298.0,-0.38095491811467275
2026-05-22 03:15:00,298094.0,-1,299154.0,300298.0,-0.38095491811467275
2026-05-22 05:45:00,298094.0,-1,299134.0,300298.0,-0.3876149691306635
2026-05-22 06:15:00,298094.0,-1,299134.0,300298.0,-0.3876149691306635
2026-05-22 06:45:00,298094.0,-1,299114.0,300298.0,-0.39427502014665433
2026-05-22 13:00:00,298094.0,-1,299114.0,300298.0,-0.39427502014665433
2026-05-22 13:30:00,298094.0,-1,299134.0,300298.0,-0.3876149691306635
2026-05-22 14:00:00,298094.0,-1,299194.0,300298.0,-0.3676348160826912
2026-05-22 14:30:00,298094.0,-1,299134.0,300298.0,-0.3876149691306635
2026-05-25 01:00:00,298094.0,-1,298734.0,300298.0,-0.5208159894504791
2026-05-25 01:30:00,298094.0,-1,298834.0,300298.0,-0.48751573437052526
2026-05-25 02:00:00,298094.0,-1,298754.0,300298.0,-0.5141559384344885
2026-05-25 02:45:00,298094.0,-1,298794.0,300298.0,-0.5008358364025068
2026-05-25 03:15:00,298094.0,-1,298754.0,300298.0,-0.5141559384344885
2026-05-25 05:45:00,298094.0,-1,298694.0,300298.0,-0.5341360914824608
2026-05-25 06:15:00,298094.0,-1,298654.0,300298.0,-0.5474561935144423
2026-05-25 06:45:00,298094.0,-1,298634.0,300298.0,-0.5541162445304332
2026-05-25 13:00:00,298094.0,-1,299014.0,300298.0,-0.42757527522660826
2026-05-25 13:30:00,298094.0,-1,299054.0,300298.0,-0.4142551731946267
2026-05-25 14:00:00,298094.0,-1,299054.0,300298.0,-0.4142551731946267
2026-05-25 14:30:00,298094.0,-1,299014.0,300298.0,-0.42757527522660826
2026-05-26 01:00:00,298094.0,-1,298974.0,300298.0,-0.44089537725858985
2026-05-26 01:30:00,298094.0,-1,298954.0,300298.0,-0.44755542827458056
2026-05-26 02:00:00,298094.0,-1,299014.0,300298.0,-0.42757527522660826
2026-05-26 02:45:00,298094.0,-1,299054.0,300298.0,-0.4142551731946267
2026-05-26 03:15:00,298094.0,-1,298934.0,300298.0,-0.4542154792905714
2026-05-26 05:45:00,298094.0,-1,299094.0,300298.0,-0.40093507116264515
2026-05-26 06:15:00,298094.0,-1,299154.0,300298.0,-0.38095491811467275
2026-05-26 06:45:00,298094.0,-1,299054.0,300298.0,-0.4142551731946267
2026-05-26 13:00:00,298094.0,-1,298994.0,300298.0,-0.434235326242599
2026-05-26 13:30:00,298094.0,-1,298954.0,300298.0,-0.44755542827458056
