datetime,open,high,low,close,volume,open_interest
2026-06-01 13:04:00,1050,1051,1049,1050,5524,1329985
2026-06-01 13:05:00,1050,1051,1050,1051,4262,1331534
2026-06-01 13:06:00,1051,1052,1050,1051,4233,1331729
2026-06-01 13:07:00,1051,1053,1051,1052,4870,1331378
2026-06-01 13:08:00,1052,1052,1051,1052,1563,1331636
2026-06-01 13:09:00,1052,1052,1051,1052,1591,1331629
2026-06-01 13:10:00,1052,1052,1051,1052,1407,1331450
2026-06-01 13:11:00,1052,1053,1051,1053,3907,1332844
2026-06-01 13:12:00,1053,1053,1051,1051,2903,1333010
2026-06-01 13:13:00,1051,1052,1051,1051,2473,1332794
2026-06-01 13:14:00,1051,1053,1050,1053,6389,1334115
2026-06-01 13:15:00,1053,1054,1052,1053,4407,1333900
2026-06-01 13:16:00,1053,1053,1052,1053,1293,1333763
2026-06-01 13:17:00,1053,1054,1052,1054,2219,1333533
2026-06-01 13:18:00,1054,1054,1052,1052,2607,1333312
2026-06-01 13:19:00,1052,1053,1052,1053,699,1333382
2026-06-01 13:20:00,1053,1054,1052,1054,2035,1333608
2026-06-01 13:21:00,1054,1054,1052,1053,1967,1333237
2026-06-01 13:22:00,1053,1054,1053,1054,683,1333039
2026-06-01 13:23:00,1054,1054,1053,1053,578,1332851
2026-06-01 13:24:00,1053,1054,1053,1054,617,1332673
2026-06-01 13:25:00,1054,1054,1053,1054,899,1332511
2026-06-01 13:26:00,1054,1054,1053,1054,630,1332457
2026-06-01 13:27:00,1054,1054,1053,1054,820,1332371
2026-06-01 13:28:00,1054,1054,1053,1054,746,1332429
2026-06-01 13:29:00,1054,1054,1053,1053,801,1332510
2026-06-01 13:30:00,1053,1054,1053,1053,529,1332412
2026-06-01 13:31:00,1053,1054,1052,1053,1402,1332327
2026-06-01 13:32:00,1053,1053,1050,1050,7705,1334216
2026-06-01 13:33:00,1050,1050,1048,1049,11735,1336698
2026-06-01 13:34:00,1049,1050,1048,1050,5805,1338022
2026-06-01 13:35:00,1050,1050,1048,1048,2870,1339185
2026-06-01 13:36:00,1048,1049,1047,1049,7901,1339876
2026-06-01 13:37:00,1049,1049,1048,1049,821,1339689
2026-06-01 13:38:00,1049,1049,1048,1048,977,1339580
2026-06-01 13:39:00,1048,1049,1048,1048,3858,1339835
2026-06-01 13:40:00,1048,1050,1048,1050,3011,1339575
2026-06-01 13:41:00,1050,1050,1049,1049,592,1339417
2026-06-01 13:42:00,1049,1050,1049,1050,598,1339426
2026-06-01 13:43:00,1050,1050,1049,1050,797,1339323
2026-06-01 13:44:00,1050,1051,1049,1051,3124,1338847
2026-06-01 13:45:00,1051,1051,1050,1050,3615,1338322
2026-06-01 13:46:00,1050,1051,1050,1051,797,1338660
2026-06-01 13:47:00,1051,1051,1050,1051,748,1338586
2026-06-01 13:48:00,1051,1051,1050,1050,432,1338580
2026-06-01 13:49:00,1050,1051,1050,1051,577,1338524
2026-06-01 13:50:00,1051,1052,1049,1052,7581,1338673
2026-06-01 13:51:00,1052,1052,1050,1051,3594,1338796
2026-06-01 13:52:00,1051,1052,1051,1052,545,1338825
2026-06-01 13:53:00,1052,1052,1051,1051,432,1338880
2026-06-01 13:54:00,1051,1052,1051,1052,368,1338762
